sample
TCGA-AJ-A3NH-11
TCGA-BG-A3PP-11
TCGA-AX-A2HD-11
TCGA-DI-A2QY-11
TCGA-AJ-A3NC-11
TCGA-BG-A2AD-11
TCGA-BG-A3EW-11
TCGA-AX-A05Y-11
TCGA-AX-A0IZ-11
TCGA-AX-A2HC-11
TCGA-AX-A0J0-11
TCGA-AJ-A3NE-11
TCGA-BK-A4ZD-11
TCGA-FL-A1YG-11
TCGA-FL-A1YH-11
TCGA-FL-A1YI-11
TCGA-FL-A1YL-11
TCGA-FL-A1YN-11
TCGA-FL-A1YQ-11
TCGA-FL-A1YT-11
TCGA-FL-A1YU-11
TCGA-FL-A1YV-11
TCGA-FL-A3WE-11
TCGA-IW-A3M5-01
TCGA-IS-A3KA-01
TCGA-KF-A41W-01
TCGA-HS-A5N8-01
TCGA-JV-A5VF-01
TCGA-KD-A5QT-01
TCGA-HS-A5NA-01
TCGA-K1-A3PN-01
TCGA-IS-A3K7-01
TCGA-K1-A42X-01
TCGA-JV-A5VE-01
TCGA-IW-A3M6-01
TCGA-WP-A9GB-01
TCGA-HB-A43Z-01
TCGA-HS-A5N9-01
TCGA-X6-A7WB-01
TCGA-PT-A8TR-01
TCGA-3B-A9I1-01
TCGA-FX-A48G-01
TCGA-IS-A3K6-01
TCGA-KD-A5QS-01
TCGA-FX-A76Y-01
TCGA-X2-A95T-01
TCGA-3B-A9HV-01
TCGA-IW-A3M4-01
TCGA-HB-A3L4-01
TCGA-IS-A3K8-01
TCGA-JV-A75J-01
TCGA-KD-A5QU-01
TCGA-N1-A6IA-01
TCGA-IE-A4EH-01
TCGA-MY-A5BF-11
TCGA-FU-A3EO-11
TCGA-HM-A3JJ-11
GTEX-S341-1326-SM-4AD72
GTEX-T6MO-1426-SM-4DM73
GTEX-S32W-1626-SM-4AD6G
GTEX-TSE9-2726-SM-4DXSQ
GTEX-S4UY-1426-SM-4AD6Y
GTEX-S341-1126-SM-4AD6T
GTEX-U3ZN-1626-SM-4DXTZ
GTEX-TSE9-2826-SM-4DXTF
GTEX-T5JW-0726-SM-4DM6D
GTEX-S32W-1526-SM-4AD6Z
GTEX-P4PP-2026-SM-3P61N
GTEX-11I78-2126-SM-5A5K8
GTEX-13U4I-1926-SM-5LU39
GTEX-131XG-2026-SM-5GCN5
GTEX-OHPK-2026-SM-3MJH7
GTEX-XV7Q-1526-SM-4BRWB
GTEX-RWS6-1326-SM-47JXB
GTEX-QCQG-1326-SM-48U24
GTEX-12WSG-2126-SM-5EGJ7
GTEX-RU72-2626-SM-4TT75
GTEX-131YS-2326-SM-5IJFJ
GTEX-PX3G-2026-SM-48U1H
GTEX-13D11-1226-SM-5IFGA
GTEX-12WSD-2826-SM-59HKT
GTEX-1313W-2826-SM-5P9G1
GTEX-11ZTS-2326-SM-5EQMY
GTEX-U3ZN-0726-SM-4DXT5
GTEX-YFC4-2826-SM-5P9FR
GTEX-XYKS-1626-SM-4BRUQ
GTEX-Y3IK-2126-SM-4YCDS
GTEX-PWCY-1426-SM-48TCT
GTEX-139D8-2526-SM-5N9G3
GTEX-11DXX-1526-SM-5H115
GTEX-ZAK1-2526-SM-5S2N7
GTEX-ZLWG-1026-SM-4WWC4
GTEX-ZVT2-0426-SM-5E44S
GTEX-ZP4G-0726-SM-4WWF2
GTEX-P4QT-2026-SM-3NMCJ
GTEX-P78B-2526-SM-3P5ZY
GTEX-113JC-2226-SM-5EGJG
GTEX-14BIM-2226-SM-5SI8Y
GTEX-Q734-1626-SM-48U1B
GTEX-13VXT-1626-SM-5IJES
GTEX-WYVS-1226-SM-4ONCL
GTEX-1399S-2226-SM-5IFEW
GTEX-OHPL-2026-SM-3TW8R
GTEX-14BMU-1826-SM-5RQII
GTEX-XUW1-0226-SM-4BOOS
GTEX-145ME-1326-SM-5O98Q
GTEX-12ZZX-2126-SM-5LZVL
GTEX-R55G-1626-SM-48FF4
GTEX-YJ8O-1126-SM-5P9IS
GTEX-T2IS-2226-SM-4DM65
GTEX-13PL7-2026-SM-5IFGK
GTEX-W5WG-1326-SM-4LMI9
GTEX-13FTX-1026-SM-5J2O5
GTEX-1117F-2426-SM-5EGGH
GTEX-132AR-1526-SM-5KM1L
GTEX-13OVJ-2326-SM-5IJGA
GTEX-WEY5-0726-SM-4LMID
GTEX-1399U-1326-SM-5IJET
GTEX-11P81-1626-SM-5BC52
GTEX-ZV6S-1526-SM-5NQ7O
GTEX-N7MT-0726-SM-3TW8S
GTEX-11ZTT-1726-SM-5EQL4
GTEX-S4UY-1226-SM-4AD51
GTEX-13S7M-1726-SM-5RQK3
GTEX-12WSK-2026-SM-5CVNB
GTEX-ZXES-0726-SM-5E451
GTEX-XUZC-0926-SM-4BOQF
GTEX-ZYVF-0526-SM-5E43E
GTEX-WWYW-2826-SM-4MVOQ
GTEX-T6MO-1526-SM-4DM57
GTEX-WXYG-1326-SM-4ONCN
GTEX-UPIC-1526-SM-4IHLU
GTEX-XUJ4-1526-SM-4BONU
GTEX-POMQ-1226-SM-3P61F
GTEX-13QBU-1626-SM-5LU4S
GTEX-11EM3-1926-SM-5987U
GTEX-PWN1-2026-SM-48TD9
GTEX-13N11-1126-SM-5KM41
GTEX-T5JW-1526-SM-4DM5E
GTEX-TMMY-2226-SM-4DXTN
GTEX-13OVI-1026-SM-5L3EM
GTEX-S341-1026-SM-4AD71
GTEX-ZAJG-2826-SM-5HL8D
GTEX-ZTPG-2026-SM-5O999
GTEX-WI4N-2426-SM-4OOSC
