sample
TCGA-IW-A3M5-01
TCGA-IS-A3KA-01
TCGA-KF-A41W-01
TCGA-HS-A5N8-01
TCGA-JV-A5VF-01
TCGA-KD-A5QT-01
TCGA-HS-A5NA-01
TCGA-K1-A3PN-01
TCGA-IS-A3K7-01
TCGA-K1-A42X-01
TCGA-JV-A5VE-01
TCGA-IW-A3M6-01
TCGA-WP-A9GB-01
TCGA-HB-A43Z-01
TCGA-HS-A5N9-01
TCGA-X6-A7WB-01
TCGA-PT-A8TR-01
TCGA-3B-A9I1-01
TCGA-FX-A48G-01
TCGA-IS-A3K6-01
TCGA-KD-A5QS-01
TCGA-FX-A76Y-01
TCGA-X2-A95T-01
TCGA-3B-A9HV-01
TCGA-IW-A3M4-01
TCGA-HB-A3L4-01
TCGA-IS-A3K8-01
TCGA-JV-A75J-01
TCGA-KD-A5QU-01
TCGA-N1-A6IA-01
TCGA-IE-A4EH-01
