"","id","gene","Cancer MSS","Normal MSS","MSS Ratio"
"1","ENSG00000082175","PGR",37.6631102537867,1.66244114684571,22.6553044149852
"2","ENSG00000132274","TRIM22",6.13034738004628,0.284036811696141,21.5829326608709
"3","ENSG00000122085","MTERF4",2.50775950905461,0.120572312482217,20.798800797857
"4","ENSG00000072958","AP1M1",1.4641437596204,0.0732838291069423,19.9790837550777
"5","ENSG00000139842","CUL4A",2.04290179419772,0.110532567378466,18.4823517868973
"6","ENSG00000143294","PRCC",2.25289963815672,0.126181878673552,17.8543833856306
"7","ENSG00000136147","PHF11",4.24286266694571,0.243964747828846,17.391294048443
"8","ENSG00000154473","BUB3",0.866891616324054,0.0526814397305671,16.4553516524542
"9","ENSG00000133961","NUMB",1.3956419660017,0.0903741052542002,15.4429408963563
"10","ENSG00000176720","BOK",12.5618833700007,0.821455160887782,15.2922325747208
"11","ENSG00000168060","NAALADL1",8.42678661709356,0.554304006565998,15.202463841636
"12","ENSG00000169129","AFAP1L2",9.34712156006191,0.631548046761038,14.8003332573026
"13","ENSG00000204209","DAXX",1.22278836574955,0.0828823884082541,14.7532954736591
"14","ENSG00000196365","LONP1",2.48899714555967,0.169839427266428,14.6550019958274
"15","ENSG00000091831","ESR1",16.8270131760845,1.15885514906927,14.5203765885659
"16","ENSG00000174282","ZBTB4",1.69439348609779,0.12247923117975,13.8341290174422
"17","ENSG00000112118","MCM3",2.77016969927037,0.201507269792261,13.7472444648087
"18","ENSG00000130309","COLGALT1",2.8229001462623,0.216367259291328,13.0467990189837
"19","ENSG00000108671","PSMD11",1.05699602712226,0.0820424040415578,12.8835330884118
"20","ENSG00000143799","PARP1",2.15210907198401,0.167332571200987,12.8612681711504
"21","ENSG00000150403","TMCO3",1.45536295873353,0.11495521411676,12.6602605189819
"22","ENSG00000102531","FNDC3A",9.57950126534007,0.763445890096483,12.5477147622465
"23","ENSG00000153902","LGI4",20.6896366532373,1.71947674797382,12.0325190076675
"24","ENSG00000121900","TMEM54",3.48491671000375,0.297119799628138,11.7289952213394
"25","ENSG00000005810","MYCBP2",1.46995597458363,0.125888147791593,11.6766828360771
"26","ENSG00000118495","PLAGL1",9.64719511643373,0.844976657374845,11.4171143453896
"27","ENSG00000132612","VPS4A",0.493096414569793,0.0432819585698701,11.3926548350114
"28","ENSG00000134291","TMEM106C",3.4040474529352,0.304925554363745,11.1635361622546
"29","ENSG00000162337","LRP5",1.96468659217005,0.178093762287248,11.0317540992885
"30","ENSG00000159346","ADIPOR1",1.12504863638683,0.104275305106232,10.789214524385
"31","ENSG00000203880","PCMTD2",2.15543895451778,0.200887788776886,10.7295668275372
"32","ENSG00000166250","CLMP",8.16408646146332,0.760983591171672,10.7283344295154
"33","ENSG00000162545","CAMK2N1",5.03633542743257,0.471554403188008,10.6802850177705
"34","ENSG00000101191","DIDO1",0.737441548600031,0.0695350117471813,10.6053271592339
"35","ENSG00000167775","CD320",2.99448171492213,0.282768224991896,10.5898805108245
"36","ENSG00000015171","ZMYND11",1.53462761657441,0.148124475502508,10.3603919026091
"37","ENSG00000103507","BCKDK",0.823486132942119,0.0799116126374968,10.3049620169436
"38","ENSG00000068831","RASGRP2",8.20263196911201,0.799749551756999,10.2565008646661
"39","ENSG00000047315","POLR2B",0.431005626290742,0.0421596046331518,10.2231894734569
"40","ENSG00000119596","YLPM1",1.19765993759965,0.117177136887002,10.2209353242227
"41","ENSG00000172236","TPSAB1",21.7620224981931,2.13567678303001,10.1897546815666
"42","ENSG00000168159","RNF187",1.91254924412521,0.190160091298194,10.0575742842177
"43","ENSG00000106397","PLOD3",2.94522523350919,0.292967871523941,10.0530656081464
"44","ENSG00000116266","STXBP3",1.33633528090112,0.134085603071444,9.96628459946658
"45","ENSG00000125817","CENPB",2.38784422274865,0.239630293855919,9.96470097467886
"46","ENSG00000126226","PCID2",1.24755740547511,0.126323343010098,9.8759055590809
"47","ENSG00000154175","ABI3BP",6.28573036111047,0.637163262971522,9.8651801294944
"48","ENSG00000160087","UBE2J2",0.608668002208999,0.0618952553544007,9.83383942313315
"49","ENSG00000197253","TPSB2",23.8775421333088,2.44209264299638,9.77749234935318
"50","ENSG00000107175","CREB3",1.18216312954737,0.121600677415162,9.7216821047082
"51","ENSG00000132383","RPA1",1.74008474163526,0.180146983493066,9.65924995187189
"52","ENSG00000109339","MAPK10",5.35125121630842,0.557892770279059,9.59189919889394
"53","ENSG00000240038","AMY2B",11.5111311729539,1.21799026636504,9.45092213857146
"54","ENSG00000053747","LAMA3",6.03456655544949,0.641712459077697,9.40384820348149
"55","ENSG00000170540","ARL6IP1",4.48871254091444,0.477720216160531,9.3961117597043
"56","ENSG00000143862","ARL8A",0.493770487652433,0.052705473572934,9.36848593095652
"57","ENSG00000111142","METAP2",1.53415931886858,0.163900954969126,9.36028297795801
"58","ENSG00000102225","CDK16",4.44276706007883,0.475731491604714,9.33881220495348
"59","ENSG00000120820","GLT8D2",10.8169819805144,1.15968612560953,9.32750831594974
"60","ENSG00000126822","PLEKHG3",2.79390323511739,0.305591003489236,9.14262266629783
"61","ENSG00000137831","UACA",2.03339081157325,0.223605878698411,9.09363753497641
"62","ENSG00000122218","COPA",2.03162878802988,0.223444166248825,9.09233309661567
"63","ENSG00000108823","SGCA",21.4964926241206,2.36506955665875,9.08915873683214
"64","ENSG00000107164","FUBP3",0.990825474464988,0.109793322787275,9.02446022500579
"65","ENSG00000143554","SLC27A3",2.32856834310893,0.26095499650702,8.92325640159295
