"","gene_name","mse_ratio"
"140","ENSG00000009413",6.66855068717885
"141","ENSG00000185651",6.66736364366833
"142","ENSG00000159714",6.63226033904281
"143","ENSG00000107829",6.61383036281714
"144","ENSG00000188549",6.60425826809612
"145","ENSG00000164897",6.57638425857131
"146","ENSG00000113240",6.54034714052239
"147","ENSG00000067057",6.54009957483474
"148","ENSG00000186501",6.53951843799137
"149","ENSG00000140995",6.53800020015301
"150","ENSG00000148737",6.53492073573193
"151","ENSG00000092201",6.51163361061953
"152","ENSG00000057757",6.5018260767392
"153","ENSG00000175854",6.45969333403917
"154","ENSG00000119318",6.45685768726786
"155","ENSG00000123136",6.45360204606692
"156","ENSG00000165688",6.42787447518831
"157","ENSG00000031823",6.42488988811116
"158","ENSG00000173465",6.41443999042848
"159","ENSG00000175866",6.41280153989707
"160","ENSG00000072062",6.41043934213043
"161","ENSG00000167881",6.40753378111935
"162","ENSG00000066136",6.3886979343602
"163","ENSG00000143368",6.36123184601084
"164","ENSG00000172346",6.35446019635611
"165","ENSG00000136270",6.34953947828641
"166","ENSG00000138867",6.32347252646581
"167","ENSG00000012171",6.31754185438048
"168","ENSG00000182670",6.2968815519764
"169","ENSG00000187735",6.28021431485199
"170","ENSG00000162604",6.26866996623489
"171","ENSG00000049656",6.25625870193105
"172","ENSG00000110422",6.23539018667014
"173","ENSG00000168883",6.17513226392182
"174","ENSG00000122176",6.17090312280371
"175","ENSG00000102710",6.17082417986928
"176","ENSG00000205302",6.16288004145356
"177","ENSG00000140859",6.15843667058311
"178","ENSG00000103264",6.13736398037631
"179","ENSG00000128731",6.13218002851189
"180","ENSG00000104231",6.11670490194578
"181","ENSG00000111596",6.10975142742654
"182","ENSG00000173267",6.10500188380824
"183","ENSG00000169093",6.08694633086247
"184","ENSG00000167118",6.08036539425909
"185","ENSG00000173482",6.07042245510954
"186","ENSG00000079931",6.05626265106853
"187","ENSG00000187778",6.0195790250182
"188","ENSG00000120008",6.00750543326626
"189","ENSG00000068383",6.00044321356728
"190","ENSG00000160058",5.99001253216025
"191","ENSG00000167930",5.98675902438264
"192","ENSG00000088833",5.98289194003948
"193","ENSG00000108883",5.98019070248631
"194","ENSG00000136100",5.97888766789346
"195","ENSG00000185000",5.93382878080055
"196","ENSG00000166946",5.9285661164065
"197","ENSG00000166971",5.92345909384268
"198","ENSG00000119242",5.91893530806519
"199","ENSG00000169919",5.91226348264193
"200","ENSG00000136044",5.91006249127134
"201","ENSG00000166508",5.90693741033032
"202","ENSG00000131876",5.89605384216575
"203","ENSG00000162521",5.86290882985203
"204","ENSG00000172845",5.84298769163883
"205","ENSG00000139146",5.83663353461177
"206","ENSG00000174780",5.83299084069467
"207","ENSG00000171862",5.7961432669199
"208","ENSG00000105618",5.77245193255581
"209","ENSG00000179144",5.76785522541553
"210","ENSG00000116194",5.75859948378062
"211","ENSG00000113384",5.74778989131494
"212","ENSG00000161013",5.74093595686071
"213","ENSG00000023902",5.73849716207553
"214","ENSG00000141447",5.73182234553964
"215","ENSG00000164040",5.71761437912708
"216","ENSG00000115317",5.71204254997052
"217","ENSG00000117632",5.69297827193569
"218","ENSG00000104969",5.6920059906272
"219","ENSG00000111731",5.69023565335323
"220","ENSG00000172819",5.68648076782639
"221","ENSG00000186908",5.68207639047565
"222","ENSG00000158552",5.67582548383735
"223","ENSG00000168395",5.67476592109422
"224","ENSG00000090661",5.65382652720977
"225","ENSG00000273749",5.65168560371303
